X value [cm⁻¹],IR Spectrum 140/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) [],biomass/OPTIR (mV) []
940,1.614217162,-0.008667705,0.136701316,0.058842879,0.533385277
942,1.710084081,0.024331329,0.225726217,0.120392188,0.549331367
944,1.845846534,0.067834996,0.298269272,0.115446046,0.582221627
946,1.899841905,0.064436197,0.33802858,0.139852673,0.591798246
948,1.987923145,0.070927359,0.386176825,0.175899893,0.656865656
950,2.086435318,0.057354432,0.469997317,0.169199795,0.682595313
952,2.084744453,0.0583678,0.438734949,0.156123206,0.648470581
954,2.141614676,0.078321427,0.444012731,0.152825892,0.666482687
956,2.227781773,0.089696258,0.489836037,0.177681014,0.682798147
958,2.305696964,0.097246319,0.528310359,0.204539582,0.722929001
960,2.344606161,0.102322422,0.498578399,0.218585104,0.732470334
962,2.354050159,0.117108636,0.475382,0.219878629,0.728376448
964,2.440672159,0.125004128,0.495161831,0.226060018,0.75067836
966,2.552011013,0.149917468,0.540483832,0.224472418,0.788568437
968,2.592851639,0.159647807,0.555316091,0.237033352,0.822672904
970,2.635858059,0.166821644,0.570971131,0.27218312,0.88674289
972,2.69193697,0.188256517,0.575778246,0.292530537,0.940107882
974,2.797945738,0.198578417,0.602520585,0.296082407,0.973359466
976,2.898185968,0.206439897,0.618840277,0.276839286,0.942700446
978,3.066727161,0.220834017,0.638832211,0.285165489,0.936410427
980,3.179066181,0.237606391,0.643470943,0.314932406,0.937022209
982,3.278228998,0.248662189,0.635482192,0.34057799,0.951336503
984,3.364029646,0.259841859,0.652862132,0.382402331,0.990636885
986,3.378434896,0.255628884,0.661945403,0.420936257,1.007096648
988,3.390823841,0.289768964,0.66839838,0.437192917,1.034144402
990,3.357212543,0.376843899,0.671774268,0.454721689,1.065010548
992,3.364679575,0.459584683,0.673226953,0.471953511,1.107336879
994,3.314317703,0.567982137,0.687363803,0.460008562,1.148863316
996,3.264810324,0.666802049,0.707229495,0.387098998,1.199421763
998,3.215470314,0.791966558,0.719985604,0.6232059,1.247828245
1000,3.102651358,1.04174614,0.727109432,1.049106836,1.328927398
1002,3.008694887,1.416805387,0.712191045,1.512257218,1.590286255
1004,2.944946289,1.753755808,0.708033621,2.092992783,1.800318122
1006,2.950175047,1.850994825,0.722462356,2.820510626,1.908545494
1008,2.914206982,1.857713103,0.746043801,3.588939905,2.060781956
1010,2.91029048,1.53410399,0.780922353,4.300245285,2.38013649
1012,3.144271374,1.808542132,0.807003736,4.689466953,2.807679892
1014,3.257826567,1.713284612,0.839794636,5.15159893,3.762621641
1016,3.173415661,1.240071416,0.875979125,5.309763432,6.867642879
1018,2.94585371,1.228746057,0.900476396,4.854461193,8.523571014
1020,2.723319292,1.38319993,0.921696603,4.495337486,8.389536858
1022,2.635332108,1.482502222,0.920562923,4.584161758,7.502022266
1024,2.608799458,1.460113168,0.926692784,4.895985603,6.709288597
1026,2.605912209,1.416457891,0.942326963,5.123942852,6.224289894
1028,2.531373978,1.408703208,0.964497387,5.201791286,5.870169163
1030,2.521531105,1.409230113,0.999370992,5.186202049,5.628670216
1032,2.549694061,1.399025679,1.027615428,5.065629959,5.392240047
1034,2.562730074,1.371400833,1.051410437,4.927936077,5.165761471
1036,2.572121382,1.325395107,1.070153713,4.770020962,4.959392548
1038,2.478223562,1.275539994,1.083156943,4.507472515,4.803119659
1040,2.418085098,1.2562356,1.092313051,4.039464474,4.693135738
1042,2.36429286,1.215228915,1.095400095,3.369213343,4.602402687
1044,2.330860615,1.17982173,1.10595119,2.970058918,4.54876852
1046,2.3607409,1.155572534,1.116436243,2.86879611,4.461582184
1048,2.394167423,1.144015312,1.130561352,2.874531984,4.280205727
1050,2.461617708,1.138783813,1.148342848,2.878610849,4.040279865
1052,2.493876457,1.115892291,1.157951236,2.874713898,3.769081354
1054,2.502345324,1.108849764,1.168518543,2.832615614,3.506681681
1056,2.5169909,1.109622478,1.176667452,2.748265743,3.27414608
1058,2.494632483,1.104244471,1.187909484,2.644564629,3.071570873
1060,2.515737057,1.108113527,1.206923962,2.493236303,2.969098568
1062,2.489501476,1.104921222,1.225849867,2.235449553,2.898435116
1064,2.417537212,1.113754869,1.229614973,1.80045414,2.825069189
1066,2.3809793,1.143325806,1.239616275,1.609515429,2.845001698
1068,2.275633574,1.145580292,1.25845468,1.57661283,3.003394604
1070,2.184170723,1.116890311,1.274837732,1.260324836,3.465895176
1072,2.104888439,1.068101883,1.281484842,0.903361619,4.143061161
1074,2.063987732,1.03823483,1.293159485,0.842495561,4.819390297
1076,2.04010725,1.024906874,1.299084187,0.974311292,5.540429115
1078,2.058451653,0.93775773,1.314613938,1.100760102,6.323278904
1080,2.085401773,0.812381864,1.321947694,1.178454041,6.626583576
1082,2.065491676,0.791709602,1.323950887,1.227030039,6.302647591
1084,1.995804429,0.811087251,1.339351416,1.253165603,5.27561903
1086,1.903456211,0.812623799,1.352751732,1.28813827,4.032394409
1088,1.857883692,0.776459277,1.354038715,1.241369843,3.990091562
1090,1.848678589,0.722573042,1.364725947,1.136224747,4.590469837
1092,1.79137826,0.670857072,1.378476739,0.968048871,6.819369793
1094,1.695253134,0.634774446,1.391438127,0.726100206,9.704758644
1096,1.610207677,0.672178507,1.410126925,0.628674686,12.35713196
1098,1.559780478,0.679095805,1.423127174,0.539917767,13.15665436
1100,1.515166163,0.640767932,1.442880392,0.50712961,12.5371151
1102,1.481527209,0.605162919,1.47694695,0.459364891,12.4674387
1104,1.46032238,0.535842478,1.49118948,0.637883544,12.24336433
1106,1.453577042,0.481150717,1.471870899,0.851644814,11.45588589
1108,1.447535157,0.456964582,1.419000387,1.028878212,10.00596809
1110,1.458600998,0.449196011,1.34964931,1.209216952,8.643181801
1112,1.4945364,0.450823516,1.294734597,1.332372189,8.694710732
1114,1.542152643,0.45402956,1.264279246,1.386713982,9.838620186
1116,1.596410036,0.468101919,1.221678734,1.391231537,10.4549799
1118,1.647861242,0.490819991,1.170340776,1.369645357,10.45551109
1120,1.724683523,0.52522856,1.110103488,1.383332014,9.602828979
1122,1.822748303,0.589912593,1.040026784,1.445538759,8.200949669
1124,1.965524912,0.663110614,0.973787308,1.444295645,7.704360008
1126,2.109005213,0.710877717,0.903904736,1.411612153,8.103747368
1128,2.291633844,0.718630731,0.844119906,1.424435258,8.193192482
1130,2.450186253,0.682662606,0.788520396,1.449943185,6.737335682
1132,2.58388567,0.650622308,0.72810185,1.475883245,3.804061174
1134,2.721487999,0.654399335,0.684661388,1.494597912,2.135218143
1136,2.806138515,0.584253907,0.641658187,1.488433599,1.46907711
1138,2.866060495,0.456531972,0.604833603,1.477984071,1.089084029
1140,2.910445213,0.556567729,0.571222782,1.465643644,0.81264466
1142,2.993590355,0.542767048,0.537126362,1.487860441,0.718046069
1144,3.078607559,0.643215597,0.514971375,1.576124191,0.796059728
1146,3.141662836,0.843557656,0.492381305,1.697702289,0.775885224
1148,3.163875818,0.917529821,0.464248002,1.769860864,0.871610761
1150,3.186527491,0.845699072,0.443286568,1.738482833,0.975347519
1152,3.19036293,0.729796648,0.424007744,1.685978413,1.009331465
1154,3.192456961,0.652891517,0.409462988,1.61800468,0.95797056
1156,3.196909428,0.660408318,0.393281043,1.607423663,0.874721944
1158,3.176844835,0.67514807,0.374235213,1.712730408,0.844131291
1160,3.152995586,0.610318303,0.364643931,1.812618852,0.8745628
1162,3.030742884,0.545439243,0.348072231,1.810439229,0.905694306
1164,2.928653955,0.730625987,0.335308462,1.792049885,0.968541861
1166,2.886577606,0.663177907,0.328566879,1.855325222,1.044269085
1168,2.836681843,0.496188402,0.319435418,1.946209192,1.090809703
1170,2.799279928,0.36712423,0.312366366,2.045097113,1.111472964
1172,2.764775276,0.274685591,0.302175105,2.266838789,1.108898759
1174,2.683307886,0.228390396,0.288993865,2.566611767,1.084557891
1176,2.608096838,0.231063515,0.275296032,2.792762756,1.050434351
1178,2.571907043,0.215805888,0.270589828,2.750737906,1.038907528
1180,2.503646374,0.258432776,0.293323696,2.576243877,1.037768364
1182,2.467606544,0.263931632,0.306431562,2.533266544,1.053369761
1184,2.450168133,0.260841966,0.316034913,2.493844986,1.09021163
1186,2.40545249,0.262369663,0.31970793,2.397064209,1.11175406
1188,2.30118084,0.251000166,0.306046039,2.222294331,1.128651261
1190,2.241901636,0.232014298,0.310574383,2.092837334,1.177672982
1192,2.166782856,0.228076771,0.308468819,1.885701418,1.222716689
1194,2.05667305,0.216735676,0.320433795,1.79796958,1.260324478
1196,1.965284467,0.186465338,0.325518459,1.778778076,1.312410116
1198,1.896816969,0.1128686,0.336227804,1.856256962,1.390945077
1200,1.866040587,0.184580773,0.371019512,1.889178157,1.48660171
1202,1.78574574,0.245343983,0.373973429,1.765137672,1.576095819
1204,1.768820763,0.30586049,0.378801733,1.6857903,1.739954114
1206,1.731423736,0.366940111,0.39111194,1.648831725,1.892380357
1208,1.621615887,0.443814307,0.39685601,1.635073304,1.958094835
1210,1.495869279,0.426196218,0.404187262,1.576292515,1.922467709
1212,1.450513124,0.446993649,0.355777413,1.394695282,2.020838737
1214,1.399181724,0.470530957,0.300989926,1.189174175,2.132169247
1216,1.340610743,0.497387826,0.238475636,0.954667747,2.25920105
1218,1.281198263,0.537919939,0.24709852,1.002308965,2.364204645
1220,1.243249536,0.561500847,0.27420938,1.018262744,2.510423183
1222,1.15697515,0.547899604,0.262053996,0.992257535,2.570196152
1224,1.112886429,0.570753038,0.2460666,0.986174762,2.715623856
1226,1.022452593,0.616521418,0.246204793,0.986474633,2.907864094
1228,0.962888479,0.638380468,0.253702283,0.992940009,3.101657152
1230,0.948903382,0.633116663,0.266994864,1.051959634,3.317069292
1232,0.856354833,0.590016603,0.257712275,1.08169663,3.506821632
1234,0.830935299,0.579086602,0.264340222,1.203498006,4.028665543
1236,0.794053614,0.60833019,0.290569961,1.349774837,4.72280407
1238,0.770549834,0.566558361,0.318977386,1.475678325,5.346786976
1240,0.729011238,0.510828614,0.301984966,1.605128169,5.925940037
1242,0.71254319,0.476981521,0.281185478,1.785352945,6.712382793
1244,0.694001675,0.471556634,0.289723963,1.9887923,7.476813793
1246,0.641489029,0.473592222,0.296166748,2.136374712,7.930683136
1248,0.641801,0.501889706,0.291729271,2.284753561,8.347272873
1250,0.636637568,0.53377676,0.30315277,2.279822588,8.338921547
1252,0.642127991,0.55516988,0.296062082,2.251642942,8.080313683
1254,0.681896329,0.576221943,0.294524014,2.277050495,7.876667976
1256,0.676125944,0.588644207,0.276936173,2.169489384,7.489273071
1258,0.711327136,0.59787631,0.259702832,2.218605995,7.370999336
1260,0.759908557,0.610145569,0.266129375,2.360154867,7.216107845
1262,0.797661126,0.614545345,0.274050117,2.367839575,7.000714779
1264,0.820813775,0.620859206,0.296851277,2.170164824,7.353822231
1266,0.846356988,0.631289184,0.321711332,2.208236456,8.124892235
1268,0.870386839,0.642974555,0.32420519,2.364591122,8.433719635
1270,0.87913543,0.643182158,0.311161399,2.408551693,8.261634827
1272,0.890467107,0.637660742,0.290050387,2.112123728,7.924533844
1274,0.889048517,0.64104569,0.277645588,1.819210529,7.617780209
1276,0.887490332,0.640890598,0.262117594,1.587651849,7.47594738
1278,0.897393107,0.649273157,0.249961779,1.510122418,7.30753088
1280,0.896669805,0.644930661,0.23262918,1.51019609,6.856114388
1282,0.897432864,0.619461715,0.224138677,1.442807913,6.383018494
1284,0.897856951,0.599900842,0.218873516,1.437665939,5.842038631
1286,0.894363582,0.573802173,0.213894829,1.602170229,5.356744289
1288,0.904164612,0.570437729,0.204615429,1.708306789,4.902226448
1290,0.896709859,0.643388569,0.194665328,1.692493796,4.472612381
1292,0.877976716,0.706950903,0.187289491,1.582474351,4.156335831
1294,0.871209145,0.709862113,0.18198131,1.468971133,3.896243334
1296,0.868796885,0.689264834,0.174951226,1.403540492,3.653174639
1298,0.889890194,0.673331082,0.175279453,1.347935319,3.461518049
1300,0.905007064,0.665369213,0.179910317,1.309855938,3.328289509
1302,0.891594768,0.647632122,0.184182063,1.27028954,3.242442131
1304,0.854961693,0.646708608,0.185457066,1.2263515,3.158017635
1306,0.844277859,0.662067533,0.190870643,1.203193188,3.081638575
1308,0.857362211,0.638801515,0.199861839,1.178783536,3.012058735
1310,0.874747396,0.616438985,0.200964004,1.166158915,2.955229282
1312,0.881790757,0.549636841,0.193260342,1.1892488,2.917658329
