X value [cm⁻¹],IR Spectrum 4/O-PTIR (mV) [mV],IR Spectrum 9/O-PTIR (mV) [mV],IR Spectrum 8/O-PTIR (mV) [mV],IR Spectrum 10/O-PTIR (mV) [mV],IR Spectrum 11/O-PTIR (mV) [mV]
935,3.703951191,0.359452522,-0.0001104,-0.355518699,-5.472363663
937,5.634942055,0.727001023,2.719930068,0.282601762,-5.770221996
939,7.505247021,-0.189501265,4.247978783,0.229609057,-5.026807785
941,10.62052784,-0.102754451,3.647922587,-0.579301649,-2.780243921
943,12.91672325,0.94308258,3.502648139,0.028183898,-1.101587844
945,14.13743382,1.34025985,3.802218151,0.35845282,0.373115331
947,15.5964819,2.380611634,4.034086132,0.544370005,1.471815181
949,16.37263393,3.246575117,3.999317265,0.80119595,2.457994509
951,17.59811554,3.971193409,4.218949604,1.047106129,3.121808767
953,18.0610672,4.473250628,4.168872595,1.127031136,3.520109892
955,18.51191483,4.639314175,4.296817064,1.240588295,4.333624744
957,19.35170174,5.042200279,4.512397289,1.499121892,4.959408665
959,19.67433128,5.525689602,4.834916592,1.524428678,5.247494507
961,19.77512245,5.910813522,4.79670372,1.478079247,5.620002556
963,20.62652054,6.274230862,4.507540321,1.548649621,5.782636833
965,20.91763306,6.351165295,4.419637871,1.413800526,5.753832436
967,20.99943199,6.501361275,4.74128418,1.521817243,6.074095821
969,21.5203434,7.015264034,5.021524906,1.861968732,6.586635685
971,21.92062492,7.449216461,5.00189867,1.848321939,6.882429695
973,22.31599731,7.767704582,5.166451836,2.063740587,7.026671505
975,22.40852432,8.061907101,5.354491711,2.139883137,7.254453659
977,22.67591248,8.195836258,5.571055603,2.34989481,7.373313236
979,23.29957085,8.193274689,5.614340115,2.483277416,7.277572632
981,23.25959702,8.408807373,5.860330868,2.618951178,7.451021576
983,23.41769753,8.919434929,6.045855522,2.779907656,7.753901482
985,24.01616898,9.066751862,6.183128262,2.870564508,7.741665077
987,23.70521355,9.185294724,6.320604992,2.931226873,7.669774723
989,23.89419098,9.454623795,6.451159096,3.185239792,8.156549072
991,24.35382614,9.631360817,6.511672306,3.221009302,8.302961159
993,24.45162086,9.844809341,6.618642807,3.11945281,8.006351757
995,24.68764954,10.18886395,6.734476185,3.320851564,8.171988869
997,24.90229187,10.46303806,6.8806674,3.553038883,8.291330242
999,24.93124504,10.53285198,6.972847271,3.546826315,8.118303108
1001,25.08007355,10.65113125,7.196295547,3.543523979,8.460323524
1003,25.27313118,11.09987354,7.300094604,3.678164101,8.566283989
1005,25.15799141,11.24496536,7.281133366,3.762192297,8.314836025
1007,25.28385544,11.24712677,7.371526432,3.724901199,8.529993439
1009,25.85359421,11.53172131,7.384320259,3.837910938,8.507607555
1011,25.93417702,11.7278717,7.488606548,3.905539083,8.522663212
1013,25.94828835,11.77685471,7.51761837,3.858066225,8.284385586
1015,26.16527901,11.92695236,7.604039574,3.993131113,8.458235455
1017,26.32465591,12.32087193,7.738314438,4.202101374,8.442887497
1019,26.49872894,12.19721985,7.872224998,4.198018169,8.34811945
1021,26.3757637,12.23809471,7.896624756,4.255308962,8.456248665
1023,26.66192322,12.57245522,7.898296261,4.434539509,8.389014626
1025,26.92208099,12.6404026,7.929711628,4.345587444,8.590730095
1027,26.85410957,12.70819244,7.909366608,4.308246374,8.363456535
1029,26.99463654,12.96502457,8.06019001,4.421628857,8.404307938
1031,27.19636497,13.16189995,8.069163036,4.486101055,8.65797081
1033,26.90349083,13.12429161,8.224368572,4.486161137,8.38771553
1035,26.97257957,13.14850807,8.226882458,4.633178329,8.477645016
1037,27.34917717,13.29310341,8.115981102,4.667016602,8.489369583
1039,27.30515099,13.26566868,8.165307999,4.527556419,8.359813976
1041,27.12893753,13.15002975,8.17590332,4.63254385,8.443637657
1043,27.2599926,13.34661732,8.179956913,4.823798943,8.328072453
1045,27.33609238,13.29399242,8.149379158,4.721900845,8.3676404
1047,27.30495644,13.25258942,7.932685089,4.825953388,8.317051792
1049,27.36872864,13.43447685,7.894914722,5.077323341,8.219684601
1051,27.15434036,13.3618679,7.774237823,5.073264313,8.232828712
1053,27.25924416,13.29787693,7.601378632,4.898586655,8.019668293
1055,27.18771362,13.28239822,7.529019737,4.859002209,8.059080601
1057,27.06724625,13.33979816,7.444850922,5.060219288,8.10373373
1059,26.96002388,13.1897831,7.26239872,5.044512749,7.897040367
1061,26.9842556,13.21700573,7.05564146,5.047723484,7.990796566
1063,26.98951874,13.30536995,6.981288147,5.093627262,8.101004314
1065,27.12589149,13.22674198,6.853994942,4.920294476,7.888928127
1067,26.69024429,13.12071476,6.729159546,4.834182644,7.989883041
1069,26.29890404,13.17093143,6.601015759,4.945234394,7.935772133
1071,26.32774582,13.03245068,6.371057606,4.980173492,7.915926838
1073,26.38597412,13.01124287,6.213345146,4.853691673,7.8609128
1075,26.22389755,13.02131042,6.081659985,4.857520199,7.64304409
1077,26.00542221,13.03584766,5.878809071,4.903773022,7.67855196
1079,25.97713737,12.93087006,5.638500309,4.738137531,7.629381943
1081,25.72992668,12.72332973,5.422155666,4.739703465,7.604873085
1083,25.72290115,12.84928513,5.323234177,4.748585987,7.481307507
1085,25.38924522,12.62836971,5.167521,4.60621376,7.376575851
1087,25.26528931,12.41437454,4.97472887,4.599136162,7.259392262
1089,25.31445541,12.52029781,4.828629112,4.608464813,7.180874729
1091,25.05484543,12.4924839,4.629014587,4.517337513,7.076662064
1093,24.77981758,12.27218361,4.452762604,4.488930511,6.982506084
1095,24.56176567,12.29674053,4.308599281,4.41818409,7.054208851
1097,24.37575645,12.42897625,4.114902687,4.328437138,6.92291832
1099,24.19450417,12.26306267,3.991269064,4.228580523,6.845925999
1101,23.96215057,12.24991112,3.770784187,4.251075411,6.972167397
1103,23.92486191,12.24303055,3.457994032,4.302092123,7.0527915
1105,24.04296951,12.21365528,3.170000839,4.383298874,6.84438076
1107,23.80660286,12.29287872,2.895185518,4.480355453,6.797308254
1109,23.76676674,12.22188511,2.655974817,4.599295616,6.998546028
1111,23.45860596,12.05946159,2.544371414,4.584723949,6.913316154
1113,23.24166908,12.05664616,2.497102833,4.446225166,6.707386303
1115,23.02897263,11.98590546,2.528438044,4.360520649,6.802633381
1117,22.69418068,11.84070091,2.542956829,4.173284101,6.6250844
1119,22.34710083,11.61506424,2.568975401,3.936577177,6.338136196
1121,21.87467422,11.42690487,2.654380226,3.87205472,6.323275375
1123,21.61642456,11.33965893,2.575843906,3.855024672,6.312962151
1125,21.55644836,11.24605236,2.520477724,3.724371481,6.257331467
1127,21.30473557,11.12674217,2.507424688,3.667699766,5.946922588
1129,20.89612427,11.03351822,2.469389772,3.694890404,6.02316618
1131,20.67087975,10.96163025,2.437098551,3.578944111,6.046150684
1133,20.36035767,10.58601742,2.38958149,3.47616744,5.850006294
1135,20.19250603,10.40360451,2.38169322,3.392390442,5.862983704
1137,19.82436142,10.43973942,2.398382711,3.305684519,5.83381443
1139,19.41915016,10.10184441,2.372609043,3.198358965,5.6872715
1141,19.10939636,9.960711861,2.364379978,3.165250921,5.709907913
1143,18.88456039,10.07000217,2.319257832,3.107092476,5.613469601
1145,18.69019089,9.821251488,2.269816732,3.042882013,5.522381306
1147,18.28563728,9.608697128,2.198567867,2.973880386,5.289708233
1149,18.08663025,9.609321785,2.092102432,2.974235535,5.252724648
1151,17.87668648,9.505530739,1.979304433,2.892689753,5.186226082
1153,17.4492981,9.332957649,1.899040055,2.816975737,4.973916149
1155,17.09756584,9.161742401,1.814649796,2.74662652,4.975529003
1157,16.88233757,9.085909081,1.78576982,2.66203084,4.913509941
1159,16.52619228,8.753639221,1.692957997,2.505221748,4.859740448
1161,16.29684296,8.593997765,1.65794332,2.492110276,4.806546402
1163,15.89072933,8.598698616,1.585650349,2.505499601,4.744802284
1165,15.53137932,8.318958664,1.56085279,2.36922946,4.663982487
1167,15.31459751,8.179187202,1.491003871,2.388137484,4.543890476
1169,15.06663876,8.158533573,1.477155566,2.438375759,4.490352249
1171,14.69756565,7.92102623,1.508344746,2.259164405,4.326922131
1173,14.35115547,7.629963112,1.457086754,2.13226788,4.102874136
1175,14.19336491,7.547465706,1.426197147,2.115590501,4.05176487
1177,13.91800728,7.365026569,1.373814821,2.032737112,4.078709888
1179,13.65452213,7.18052721,1.338986444,1.967901754,4.011469698
1181,13.28061924,6.962555885,1.260897493,1.926329684,3.866642332
1183,12.99952564,6.995988464,1.271334147,1.845327806,3.736131763
1185,12.708111,6.763597107,1.201205409,1.746999454,3.714734268
1187,12.31065311,6.535172653,1.197719574,1.611590242,3.544118547
1189,12.05957012,6.446518707,1.204414845,1.455051494,3.4143013
1191,11.81401024,6.181454277,1.203216386,1.405955887,3.279107952
1193,11.51875687,5.942195988,1.218684709,1.307361031,3.147877789
1195,11.17105331,5.739513779,1.26165309,1.115710211,3.029770613
1197,10.94093742,5.624079227,1.240866113,1.039210999,2.798419046
1199,10.65253067,5.358330154,1.16909461,0.943835878,2.636095428
1201,10.22719421,5.138687325,1.272325373,0.857304335,2.52700119
1203,9.700068855,4.955268955,1.191755891,0.771032643,2.394151235
1205,9.353358078,4.675899696,1.148678112,0.645860708,2.242629552
1207,8.926450348,4.433488464,1.087001681,0.562679705,2.25120759
1209,8.316451263,4.183034706,1.069701707,0.62005651,2.004023957
1211,7.956837368,3.99674325,1.206229484,0.589454341,1.829209304
1213,7.509372616,3.494039869,1.130387235,0.528029692,1.762741017
1215,7.108727741,3.043936348,1.062480778,0.473032176,1.703227639
1217,6.747919464,2.638587427,1.001326197,0.423503156,1.649631763
1219,6.55114069,2.55766263,1.13774296,0.621285827,1.571114063
1221,6.298388004,2.390387583,1.124365067,0.636699452,1.598299384
1223,6.062926006,2.286320734,1.007798684,0.611953011,1.595546055
1225,5.849640179,2.286358309,1.05680297,0.544991362,1.624630761
1227,5.46479187,2.147310472,1.054211661,0.425693666,1.522571397
1229,5.314991188,2.057264018,1.110164309,0.411632131,1.356909466
1231,5.057779503,2.079300165,1.215274322,0.439780407,1.334917605
1233,4.957745266,1.914093375,1.257396519,0.386779219,1.179452837
1235,4.660190773,1.778954935,1.37578311,0.29319641,1.11656462
1237,4.708459759,1.864702559,1.418465972,0.267403117,1.247386241
1239,4.565198326,1.78047657,1.381304306,0.295798479,1.361645675
1241,4.349595499,1.671218014,1.366906995,0.199671427,1.289437771
1243,4.066641474,1.775212336,1.317052174,0.205167336,1.201297641
1245,4.008395052,1.780036712,1.456353778,0.260074015,1.293673372
1247,3.951101255,1.652644277,1.472723073,0.333238146,1.283433747
1249,3.867027664,1.531853414,1.521472257,0.364423369,1.394598341
