X value [cm⁻¹],IR Spectrum 157/OPTIR (mV) [mV],IR Spectrum 158/OPTIR (mV) [mV],IR Spectrum 159/OPTIR (mV) [mV],IR Spectrum 160/OPTIR (mV) [mV],IR Spectrum 161/OPTIR (mV) [mV],IR Spectrum 162/OPTIR (mV) [mV],IR Spectrum 163/OPTIR (mV) [mV],IR Spectrum 164/OPTIR (mV) [mV],IR Spectrum 165/OPTIR (mV) [mV],IR Spectrum 166/OPTIR (mV) [mV],IR Spectrum 168/OPTIR (mV) [mV],IR Spectrum 169/OPTIR (mV) [mV],IR Spectrum 170/OPTIR (mV) [mV],IR Spectrum 174/OPTIR (mV) [mV]
940,0.444647642,0.654829615,0.122021741,0.425552103,0.289810555,0.38332487,0.554978561,0.7103724,0.802103156,0.332652396,0.878599584,0.17241056,0.26729088,-0.021313514
942,0.493155367,0.713413787,0.23115529,0.505775321,0.457536581,0.432252201,0.662104276,0.873270094,0.969652295,0.400894859,0.92757265,0.284797828,0.471118796,0.02112615
944,0.560318497,0.721214473,0.283452122,0.557453692,0.582403713,0.430766494,0.69256124,0.923956966,1.057264388,0.544080412,0.969556463,0.329796019,0.498353598,0.11716266
946,0.653293198,0.762254024,0.351283994,0.590040982,0.61093775,0.504133232,0.757834349,0.904033303,1.08977195,0.620256186,0.911343658,0.336478802,0.47978706,0.23796818
948,0.735829192,0.74142586,0.451885462,0.663495219,0.661986136,0.572987108,0.846876156,1.000535548,1.156686342,0.694012719,0.886255211,0.375004436,0.499182793,0.307254419
950,0.786132386,0.758354914,0.499567986,0.701869702,0.702175456,0.641654609,0.86454865,1.062905383,1.198388207,0.736086261,0.843862615,0.419370729,0.597126958,0.33139801
952,0.772406626,0.731029105,0.509083843,0.699099278,0.709631544,0.651554176,0.859761669,1.0269153,1.157636917,0.745997894,0.83224746,0.443049854,0.642323563,0.341162181
954,0.801562719,0.75829854,0.509981984,0.713053036,0.739451671,0.685237908,0.887715319,0.976231229,1.189519823,0.786585903,0.85729425,0.468194693,0.643973881,0.373284823
956,0.832742587,0.782305193,0.563142323,0.754173815,0.767968082,0.751891917,0.936184347,1.004782748,1.245044732,0.830097771,0.845536968,0.486775261,0.707815781,0.382306176
958,0.835779172,0.792695367,0.600393599,0.757940066,0.781622869,0.838071406,0.958191898,1.049107146,1.288767111,0.830684316,0.818860778,0.48903538,0.778872502,0.387806886
960,0.849415877,0.778781629,0.6447981,0.801947474,0.798185897,0.852660733,0.992005458,1.030160594,1.315101218,0.85952208,0.813190591,0.498098338,0.786497897,0.369590551
962,0.868294531,0.769563997,0.67712698,0.826323199,0.82867955,0.909114969,1.039272785,1.027084887,1.347817564,0.906639802,0.756117892,0.505159885,0.82139557,0.38022278
