X value [cm⁻¹],IR Spectrum 11/OPTIR (mV) [],IR Spectrum 10/OPTIR (mV) [],IR Spectrum 9/OPTIR (mV) [],IR Spectrum 8/OPTIR (mV) [],IR Spectrum 5/OPTIR (mV) [],IR Spectrum 4/OPTIR (mV) [],IR Spectrum 3/OPTIR (mV) []
940,2.122233391,0.462580651,0.128884807,0.065574996,0.437858433,0.380725175,0.261061877
942,2.063964844,0.409361273,0.248683691,0.041820966,0.573216259,0.370524585,0.367660075
944,2.126055241,0.468130559,0.294558764,0.114561096,0.493759632,0.368737638,0.30580166
946,2.139862061,0.488500983,0.278748721,0.125006005,0.480074346,0.411451787,0.251658797
948,2.15479064,0.502210081,0.271743715,0.160424501,0.621120393,0.446643949,0.239805132
950,2.1355896,0.523624957,0.326815456,0.190440714,0.66609329,0.489175737,0.238171503
952,2.068635464,0.567690909,0.335226566,0.201557145,0.694034815,0.463307232,0.242095366
954,2.193519831,0.614766359,0.374437302,0.233489931,0.731443703,0.508399606,0.242128268
956,2.288343906,0.618005514,0.392171323,0.255240113,0.778809786,0.569613278,0.289423496
958,2.268364906,0.64434135,0.411967337,0.264137924,0.775633216,0.610316098,0.339011252
960,2.206980467,0.657286584,0.428889245,0.309015363,0.769461334,0.644728065,0.341438621
962,2.168928146,0.665336311,0.419104517,0.332772821,0.775829911,0.662457526,0.3396734
964,2.22939229,0.686094284,0.443157136,0.343413115,0.814517438,0.704133391,0.326114923
966,2.314400196,0.694711626,0.464905709,0.353644669,0.86874634,0.71965158,0.333183557
968,2.296055317,0.688025892,0.493531555,0.370622188,0.842988253,0.684404016,0.350750476
970,2.303375244,0.686013162,0.505571663,0.388334066,0.85477072,0.695717394,0.403611273
972,2.249584675,0.696059346,0.49224028,0.395260632,0.870334506,0.756397843,0.452502161
974,2.260357618,0.704009652,0.495815814,0.414390206,0.887771308,0.798691869,0.49073121
976,2.300201416,0.71282053,0.502046466,0.446039796,0.917940974,0.817394674,0.528446019
978,2.260075808,0.705262482,0.507107377,0.458050072,0.876660585,0.809317052,0.546863258
980,2.259463787,0.696769238,0.501756012,0.463108927,0.886606753,0.836129487,0.592235148
982,2.249143362,0.696041703,0.49346748,0.480010808,0.916176558,0.872427702,0.611451209
984,2.263165712,0.709533691,0.505958378,0.50309664,0.922907591,0.910060406,0.637534201
986,2.283223629,0.720785558,0.512983859,0.51905036,0.953266382,0.935785711,0.676647365
988,2.279727697,0.7353338,0.529700398,0.530332685,0.963297784,0.950072408,0.717354
990,2.306844473,0.750924706,0.540974796,0.547473729,0.974483371,0.964875996,0.731584609
992,2.311179638,0.760262311,0.55427444,0.570807695,1.010148883,0.994377434,0.75753665
994,2.349932432,0.784688532,0.570387006,0.608302236,1.044775724,1.016868114,0.797809005
996,2.412869692,0.793774605,0.579413474,0.642291248,1.07048893,1.017318606,0.842804849
998,2.492673397,0.807514131,0.601179838,0.658927143,1.089224339,1.021440744,0.877436042
1000,2.576559067,0.823435307,0.614959598,0.663248062,1.108517408,1.025553823,0.910327852
1002,2.623117447,0.830904305,0.622909129,0.685332298,1.123982787,1.034158587,0.959555268
1004,2.722700596,0.826447129,0.621240377,0.722553551,1.14319706,1.032298565,0.995622993
1006,2.798051357,0.822395444,0.63433969,0.753347039,1.160868049,1.02744031,1.022585392
