X value [cm⁻¹],IR Spectrum 53/O-PTIR (mV) [],IR Spectrum 54/O-PTIR (mV) [],IR Spectrum 55/O-PTIR (mV) [],IR Spectrum 56/O-PTIR (mV) [],IR Spectrum 57/O-PTIR (mV) [],IR Spectrum 58/O-PTIR (mV) [],IR Spectrum 59/O-PTIR (mV) [],IR Spectrum 60/O-PTIR (mV) [],IR Spectrum 61/O-PTIR (mV) [],IR Spectrum 62/O-PTIR (mV) [],IR Spectrum 63/O-PTIR (mV) [],IR Spectrum 64/O-PTIR (mV) [],IR Spectrum 65/O-PTIR (mV) [],IR Spectrum 66/O-PTIR (mV) [],IR Spectrum 67/O-PTIR (mV) [],IR Spectrum 68/O-PTIR (mV) [],IR Spectrum 69/O-PTIR (mV) [],IR Spectrum 70/O-PTIR (mV) [],IR Spectrum 71/O-PTIR (mV) [],IR Spectrum 72/O-PTIR (mV) [],IR Spectrum 73/O-PTIR (mV) [],IR Spectrum 74/O-PTIR (mV) [],IR Spectrum 75/O-PTIR (mV) [],IR Spectrum 76/O-PTIR (mV) [],IR Spectrum 77/O-PTIR (mV) [],IR Spectrum 78/O-PTIR (mV) []
935,-2.319429398,0.634262502,-2.098059654,2.560062647,-1.945158362,6.322800159,-7.077363014,-1.473651171,-1.436519384,0.356854081,-2.685973167,-6.150915623,-0.670706272,-0.891849816,-6.120730877,2.235669136,7.506186485,2.182789564,-8.592498779,4.010922432,1.559126019,-3.216580391,3.130746603,-0.690782547,2.390413284,-1.788085461
937,-1.649607301,2.249778509,-0.495675564,1.380533338,-2.075956106,-1.169892311,-1.986297488,1.550923824,0.873380482,2.501038313,-1.279595852,-3.759375572,1.74590373,0.885177612,-1.835506558,-1.289819837,1.40054214,-0.556966305,-4.401926994,1.911720395,-0.807386696,0.448829472,1.967864275,-3.187897682,4.636453152,-1.463786483
939,-1.723326206,-0.736458719,-0.355687946,1.288776159,-0.88553679,-0.618950546,-1.653419971,3.49802351,-0.752702713,2.796972752,-0.715796769,-1.770841956,1.222326159,2.262370586,0.436810642,-0.142490223,2.140997887,-1.506929278,-2.114996195,1.393667936,-1.115045071,1.101592183,0.114575572,1.779995561,4.886948586,-1.438894987
941,-0.457542807,0.904548824,0.685076416,-0.290073335,-1.672797203,2.008914232,-1.479332566,4.655276775,0.642845094,-0.939177752,1.031816721,-0.756912947,0.327396303,1.071222305,0.310519248,-1.750486016,1.197452426,-0.692002535,-2.282492638,0.172733769,-1.418548107,-1.625224233,0.179763258,2.350208759,5.402397633,-0.500380516
943,-0.125490144,-0.067232236,-0.732740283,-0.64199996,-1.231068254,1.562301993,-0.383490562,1.991279006,-0.712921798,-0.906688213,0.287965357,0.536788642,-0.0317863,-0.639286935,0.302885562,-0.973194599,0.352794379,0.4685992,-1.92298913,-2.292152166,0.764437973,-1.100875497,1.758765817,1.21501255,6.107626915,0.28357935
945,-0.934910119,-0.66322881,-0.138276979,-0.242799178,-1.519912004,-0.262892187,0.133762121,0.841448367,1.038021684,-1.628648758,1.838678598,0.376345158,1.52949965,-1.025193334,-0.274855793,-0.668870151,1.260949492,1.408079147,-2.012450218,-1.884618402,0.944011509,-1.131610513,2.130226135,-0.051455699,6.937867641,0.687325478
947,-1.218306661,-0.86209631,-0.59690696,-0.030826485,-0.341645181,1.767100573,0.327474684,1.090320587,0.143346652,-1.18380487,2.063329697,-0.735422611,0.405054986,-1.05819881,-0.655730128,0.800907731,0.349700332,1.617841721,-2.642188311,-0.285112679,0.639652014,-0.488347709,1.430406451,0.223666966,7.256597519,1.013864875
949,-0.472635388,0.458186299,-0.423054427,0.923211098,-0.306731343,0.92390722,0.165488034,0.450536758,-0.711981714,-0.718539357,1.157266498,-0.133314297,0.999277472,-1.07267046,-0.41675365,0.556337774,-1.001195312,1.507360697,-0.950420618,-0.665259242,-0.362610877,-0.70853281,0.048255846,-0.058312308,7.374680042,1.432733417
951,0.311173379,1.002618194,-0.7216416,0.762918949,-0.230789036,1.604317904,0.476158828,0.806165218,-0.575833738,-0.744920731,0.964961469,0.151599526,0.622464359,0.346078962,-0.208485439,0.467208713,0.276923299,0.272972256,-0.747799695,0.764907539,-0.584643304,-0.18587248,-0.247887209,-0.4694556,7.425494671,1.865325689
953,-0.134907767,0.415696323,0.33218351,0.38889879,0.152326152,0.974702954,0.01505915,0.43867138,0.511844873,0.223042399,0.376493245,0.333091974,-0.188337937,0.140004963,-0.377351016,0.345082641,0.430294335,-0.346909493,-0.964652061,0.687712431,-0.362357855,0.297089577,-0.05970671,0.184621602,7.76506424,2.032710314
