X value [cm⁻¹],PTFE/OPTIR (mV) [],PTFE1/OPTIR (mV) [],PTFE6/OPTIR (mV) [],PTFE3/OPTIR (mV) [],PTFE5/OPTIR (mV) [],PTFE kinda/OPTIR (mV) []
940,0.033025045,-0.023671141,0.17450203,0.087566338,-0.045571964,0.298056513
942,0.038129024,0.118919984,0.296052068,0.066797942,0.027430464,0.263801515
944,0.112350412,0.0433263,0.420355916,0.188759878,0.050613202,0.245788291
946,0.174091578,0.054717932,0.523380995,0.208206758,0.123721331,0.281265974
948,0.220344096,0.041530285,0.567503393,0.249110207,0.181424975,0.264980525
950,0.299695075,0.066806108,0.506046355,0.315864682,0.179919273,0.239677966
952,0.362473667,0.068550445,0.466128588,0.414341211,0.209506169,0.242471129
954,0.3730461,0.056656193,0.481378347,0.467373431,0.231881455,0.233153939
956,0.402401924,0.067798212,0.535001814,0.427950114,0.260242909,0.254156768
958,0.447882324,0.055709265,0.535002947,0.418266654,0.285923392,0.294947475
960,0.510719538,0.027771557,0.544451237,0.443493098,0.315784156,0.295625031
962,0.547296584,0.053152379,0.556676269,0.465226471,0.326897115,0.282195359
964,0.587367594,0.0767584,0.571512759,0.498766124,0.358890861,0.279784977
966,0.622626185,0.103230149,0.584775031,0.525230646,0.390233904,0.310602039
968,0.619809389,0.135251358,0.602934718,0.51578033,0.390729427,0.303106606
970,0.616943121,0.159118503,0.612303257,0.519515574,0.408919334,0.293319345
972,0.615575254,0.159112781,0.623681068,0.51232487,0.433046937,0.269592613
974,0.654154539,0.1786405,0.633895159,0.498607576,0.444850385,0.279787898
976,0.675679207,0.209889576,0.655504704,0.510032594,0.444827914,0.285513103
978,0.676778316,0.203721225,0.652152181,0.509989262,0.446082592,0.27540493
980,0.681411624,0.217851296,0.659249067,0.510766864,0.465416729,0.2580854
982,0.707455873,0.256633639,0.678040683,0.513860822,0.4788495,0.247664183
984,0.726762295,0.271077365,0.68781358,0.525986552,0.485156745,0.25400576
986,0.740780711,0.277316988,0.676328599,0.541789472,0.486061126,0.264717251
988,0.741349876,0.274936169,0.680570006,0.543373644,0.501646817,0.25025785
990,0.755006552,0.312025636,0.687565804,0.557287991,0.515038431,0.266793072
992,0.782237768,0.367094636,0.682113111,0.567160904,0.536985993,0.257791162
994,0.81129843,0.390500933,0.684101582,0.569229364,0.539125621,0.221311912
996,0.831127107,0.414458245,0.675083399,0.57105583,0.548728824,0.222245887
998,0.864944339,0.441071838,0.671178997,0.577722371,0.572952569,0.228735104
1000,0.897824049,0.455128491,0.666926563,0.591103196,0.586862683,0.220954791
1002,0.915502787,0.476933718,0.676929116,0.610811889,0.602091253,0.228195518
1004,0.941259384,0.525499761,0.675263703,0.599729896,0.618575454,0.237678289
1006,0.977492452,0.558182299,0.672767103,0.585013092,0.628219008,0.251790285
1008,1.016061306,0.588762581,0.689159691,0.598424792,0.637602806,0.264640421
1010,1.062974691,0.611036777,0.704765201,0.608839393,0.668317318,0.280506313
1012,1.105606675,0.63138628,0.72430104,0.608154714,0.687954068,0.302675068
1014,1.162334919,0.627788424,0.726881921,0.608766198,0.701299727,0.325449675
1016,1.213729143,0.651482582,0.72596401,0.637546062,0.722173512,0.343933403
1018,1.263433337,0.695689261,0.722306848,0.644398689,0.741891205,0.361726344
1020,1.313006282,0.722455919,0.71211803,0.651469767,0.763677657,0.387381673
1022,1.352557659,0.751304448,0.711789966,0.670493841,0.781466365,0.402158886
1024,1.388059139,0.798032582,0.689807773,0.662642062,0.793634474,0.417801082
1026,1.436998844,0.829793096,0.671182871,0.664158225,0.812670767,0.442847073
1028,1.487998366,0.841938555,0.669656813,0.674269378,0.831584573,0.465907961
1030,1.54316175,0.868784368,0.663122177,0.675141633,0.862196565,0.488888919
1032,1.580661535,0.89828831,0.652644813,0.664791763,0.877256989,0.512737036
1034,1.611931086,0.915715039,0.638440549,0.65907526,0.888837218,0.52998364
1036,1.650260091,0.94452399,0.619196594,0.642336905,0.904298306,0.547060609
1038,1.676188827,0.97808224,0.601767123,0.634612024,0.917373776,0.560206652
1040,1.704253674,0.992851436,0.57284826,0.626355052,0.927875757,0.57522893
1042,1.744154096,1.006885052,0.554303229,0.616193891,0.946222782,0.587871909
1044,1.778525829,1.038958549,0.541452467,0.619313359,0.963786542,0.593977571
1046,1.791217566,1.072214484,0.526707947,0.608875394,0.965988457,0.603332639
1048,1.797448516,1.097369432,0.506357372,0.630559146,0.974708378,0.610921919
1050,1.810776949,1.123552561,0.484031558,0.629718184,0.98556304,0.627357364
1052,1.81647861,1.12287724,0.459153771,0.610186934,0.989716709,0.638989985
1054,1.836730242,1.121543646,0.426145554,0.603905082,1.005072832,0.647498906
1056,1.839177132,1.142323852,0.418639988,0.593436778,1.01120615,0.660234809
1058,1.830090642,1.159395814,0.415702581,0.587594748,1.019788623,0.665237427
1060,1.827422738,1.188405156,0.414704353,0.599030852,1.033658504,0.678033531
1062,1.815134525,1.199667335,0.432928652,0.588015616,1.047992229,0.689235747
1064,1.801287651,1.204273939,0.443124235,0.554095387,1.050458193,0.702169716
1066,1.785480738,1.219293475,0.45884195,0.556258917,1.04459095,0.715072215
1068,1.77350378,1.21983695,0.477071106,0.562284946,1.051139593,0.721476793
1070,1.764055133,1.229600668,0.493000776,0.564438462,1.060326815,0.726366282
1072,1.74612391,1.234137654,0.497457087,0.547229588,1.052820325,0.733501613
1074,1.721694589,1.251248717,0.506403029,0.533526063,1.047555566,0.734295964
1076,1.715872526,1.253644347,0.521083653,0.548289835,1.049445868,0.737484872
1078,1.703095317,1.245022416,0.534800172,0.559169352,1.046999335,0.744158685
1080,1.68054986,1.228850007,0.546552718,0.540498257,1.036080956,0.744480073
1082,1.653099418,1.205260754,0.54706496,0.524351358,1.027191162,0.744525552
1084,1.630181074,1.188998222,0.563442945,0.522140503,1.023705721,0.750387251
1086,1.606124043,1.147904396,0.562633991,0.504240751,1.006775737,0.741642356
1088,1.586181402,1.118301034,0.553249538,0.491057873,0.986274779,0.742007196
1090,1.592893839,1.103885055,0.550639629,0.500034988,0.981179595,0.747876406
1092,1.585448742,1.081471562,0.554542661,0.503106773,0.971289694,0.758387268
1094,1.575973749,1.070805669,0.552017033,0.504621267,0.960424721,0.764559388
1096,1.57623446,1.058565021,0.539078474,0.492011636,0.952331901,0.762838721
1098,1.585477114,1.04099369,0.530109107,0.48144722,0.949260473,0.764054298
1100,1.599664211,1.015558004,0.529772997,0.481062204,0.938189924,0.758926451
1102,1.598243356,0.994399011,0.520914733,0.480731457,0.928829491,0.75376451
1104,1.589378715,0.989638031,0.504934192,0.481047332,0.919989824,0.736787021
1106,1.560303807,0.987953782,0.483000755,0.47875911,0.919116437,0.72661531
1108,1.534148335,0.979682982,0.474294066,0.471595198,0.913860857,0.726726234
1110,1.515619874,0.987628877,0.463009536,0.468449533,0.915871084,0.726139724
1112,1.497916818,0.992112398,0.447493911,0.473074019,0.912768304,0.713123143
1114,1.495562434,1.015471101,0.436805606,0.482922614,0.915594041,0.698290944
1116,1.502286434,1.033325672,0.427505404,0.475649625,0.923172295,0.692485332
1118,1.495533586,1.051607251,0.418286651,0.470076263,0.923942208,0.685416043
1120,1.495830655,1.094781041,0.396088243,0.484704554,0.928205907,0.681102991
1122,1.488683462,1.125231981,0.372615635,0.496870726,0.93279779,0.678291738
1124,1.500882983,1.162990093,0.368370712,0.518940091,0.946281552,0.674444675
1126,1.519680977,1.207931042,0.363109231,0.533392966,0.963503718,0.662636936
1128,1.569572926,1.288827181,0.354972392,0.562293053,0.992105007,0.64332062
1130,1.679083824,1.380629182,0.36242789,0.611481667,1.034045458,0.631050169
1132,1.815746546,1.481705785,0.385764986,0.672531426,1.086938858,0.620526433
1134,2.014364243,1.635837793,0.4042584,0.748649359,1.170637965,0.585214019
1136,2.262971163,1.824548721,0.436450481,0.85520637,1.284258366,0.555326462
1138,2.642050505,2.083314896,0.529228389,1.00023365,1.45418787,0.576265275
1140,3.154548407,2.444310427,0.696364462,1.220818281,1.708575249,0.709059894
1142,3.793757915,2.877206564,0.943519533,1.633016348,2.068568468,0.967131019
1144,4.515865326,3.288967371,1.288448334,2.228579998,2.558495045,1.326584101
1146,5.262171268,3.875778198,1.689234853,3.073495388,3.152452707,1.804279804
1148,6.016836166,4.271216869,2.004740715,4.011012077,3.762381554,2.351291895
1150,6.630140305,4.355180264,2.153236151,4.598218441,4.245084286,2.903761625
1152,7.047532082,4.256563663,2.222391367,4.739332676,4.550291061,3.36422205
1154,7.3387146,4.395389557,2.203063488,4.579851151,4.714237213,3.670204163
1156,7.463763237,4.446368217,2.156163454,4.25776577,4.734094143,3.771808386
1158,7.469575405,4.45981884,2.009481907,3.816991806,4.667638779,3.682094336
1160,7.501887321,4.636535645,1.913692832,3.381229877,4.654463291,3.558501959
1162,7.527858734,4.871234417,1.810103774,3.022303343,4.617505074,3.415024757
1164,7.489285469,5.209204197,1.673974395,2.618400812,4.527701855,3.191017866
1166,7.399441242,5.418582439,1.58904624,2.193511009,4.414619923,2.938006878
1168,7.290207863,5.580267429,1.527112246,1.841489196,4.293473244,2.691684961
1170,7.149099827,6.100848675,1.496491671,1.526297092,4.151757717,2.457280636
1172,6.969166279,6.609736919,1.489547968,1.219947815,3.983191252,2.225178957
1174,6.630628586,6.853765965,1.548735738,0.903936684,3.729976654,1.95732379
1176,6.256082535,6.824459553,1.666080594,0.728957891,3.420353174,1.740745783
1178,5.816035748,6.691930294,1.681478024,0.614317238,3.099667072,1.534767747
1180,5.450629711,6.562428951,1.675623894,0.519040525,2.843136311,1.389258265
1182,5.088472366,6.307703018,1.603141308,0.461326003,2.639190197,1.272505522
1184,4.890228271,6.156980515,1.546201348,0.460172445,2.565202951,1.230203867
1186,4.79211235,6.091060638,1.476908803,0.433611482,2.54714179,1.186111569
1188,4.791137218,6.167374611,1.444401026,0.435637116,2.615332365,1.169893265
1190,4.937721252,6.448263168,1.451569796,0.447436601,2.741883516,1.198219299
1192,5.129106045,6.792374611,1.461924791,0.463686168,2.886509895,1.222056985
1194,5.339230061,7.291106224,1.494734287,0.474098355,3.104933739,1.225330234
1196,5.56676054,7.873278618,1.519243717,0.50052309,3.320459843,1.291571379
1198,6.037374973,8.754845619,1.633738875,0.571670294,3.676749706,1.412110448
1200,6.495415211,9.606155396,1.740701199,0.613230884,4.037173748,1.532219529
1202,6.827160358,10.2877779,1.738850236,0.677578628,4.328639507,1.62020874
1204,7.025519371,10.69127178,1.633615732,0.730832458,4.547580719,1.704112411
1206,7.186656952,10.90483952,1.463284969,0.680578232,4.662322998,1.750028849
1208,7.304652691,11.06116486,1.264554381,0.610264838,4.737902164,1.7553581
1210,7.459486961,11.23594379,1.108681083,0.572554171,4.776107788,1.722741842
1212,7.344121933,10.41608047,1.353547573,0.686002254,4.887700081,1.688392758
1214,7.214126587,9.492240906,1.629468322,0.813838005,5.013444424,1.649687648
1216,7.06652832,8.443307877,1.942750692,0.958983541,5.156216145,1.605741501
1218,7.109222412,8.635938644,1.895575523,1.003378153,5.145271301,1.525567412
1220,6.888157845,8.446528435,1.803042054,0.961365223,4.960216045,1.450433612
1222,6.814540386,8.418208122,1.8027004,1.001797199,4.790837288,1.338771224
1224,6.976952076,8.67193985,1.925551057,0.983657658,4.860877991,1.272137046
1226,6.968651295,8.759384155,1.933763385,0.897999883,4.816687584,1.22552228
1228,7.051437378,8.842935562,1.947727919,0.918543696,4.840648651,1.176897049
1230,6.935898781,8.702009201,1.94193697,0.844374001,4.77545929,1.106767774
1232,6.695341587,8.482030869,1.896290302,0.851135135,4.646505356,0.999863207
1234,6.869552135,8.581390381,1.864066958,0.944669008,4.717065334,0.967695296
1236,6.988548756,8.738147736,1.813069701,0.980706453,4.746243,0.943827212
1238,6.902896404,8.621781349,1.610592127,0.947910607,4.643440247,0.841157496
1240,7.018481255,8.694039345,1.461922765,0.924237847,4.702110767,0.869134068
1242,7.018398762,8.576904297,1.305681944,0.913002133,4.666613102,0.868634105
1244,6.68052721,8.004401207,1.116237044,0.830269694,4.378076553,0.759814441
1246,6.377184868,7.639573574,0.904901862,0.742642403,4.186326981,0.681218743
1248,6.342196941,7.420570374,0.751878321,0.64971745,4.138624668,0.668892384
1250,6.220090866,6.94822073,0.636400223,0.585319638,4.021231174,0.644643426
1252,6.091651917,6.642094135,0.580782831,0.521850646,3.896337986,0.604157686
1254,5.936581135,6.203273773,0.558020175,0.445495069,3.770697117,0.582729936
1256,5.625362396,5.706101418,0.525704741,0.404737204,3.53795886,0.546062589
1258,5.280675411,5.146430492,0.462577432,0.32995066,3.267253637,0.56883806
1260,4.884027004,4.523798943,0.401604474,0.311337799,2.941902399,0.582393706
