,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR"
,14873.9599609375,14883.2099609375,14888.16015625,14885.91015625,14879.759765625,14866.8095703125,14863.759765625,14872.9599609375,14882.009765625,14873.4599609375,14865.1103515625,14879.4599609375
,5335.8798828125,5338.77978515625,5332.27978515625,5319.97998046875,5311.97998046875,5316.22998046875,5309.080078125,5300.8798828125,5298.330078125,5324.27978515625,5343.52978515625,5347.1298828125
923,2.21706104278564,-1.92791104316711,4.19662380218506,-1.84160053730011,1.97389590740204,0.1429363489151,1.04181861877441,-0.535556495189667,-1.43132615089417,-2.51931643486023,-0.49433308839798,3.20089316368103
925,3.1734733581543,-0.31871035695076,2.34921216964722,-1.71555531024933,1.58449375629425,0.40797221660614,2.24104857444763,-0.321570187807083,-0.822480142116547,-2.89238715171814,0.438947379589081,2.80360412597656
927,3.77291440963745,-0.0885894000530243,0.959269523620605,-1.59719276428223,0.59916090965271,-0.0956400111317635,1.60469925403595,-0.404206931591034,0.00113338232040405,-1.90267777442932,0.355605840682983,1.9980376958847
929,3.78652501106262,-0.450154632329941,0.292582392692566,-2.25493431091309,0.376603782176971,-0.173275545239449,1.95016837120056,0.21516065299511,-0.0324166044592857,-0.881649017333984,-0.321491420269012,0.801646769046783
931,2.44476771354675,-0.0687026232481003,-0.32643911242485,-3.49644422531128,0.510476291179657,-0.0206552557647228,2.61426281929016,0.0449620597064495,-0.0846697464585304,-0.575095891952515,0.211468502879143,0.486577093601227
933,1.07872891426086,0.142014726996422,-0.312904328107834,-3.4077353477478,0.978154838085175,-0.35261407494545,1.89897859096527,-0.134066015481949,0.0868711695075035,-0.668575942516327,0.800348818302155,0.534387588500977
935,0.367641448974609,0.1905677318573,0.198916390538216,-2.09222674369812,0.650511264801025,-0.463209092617035,0.376384705305099,-0.217161044478416,0.326666116714478,-0.58503121137619,0.808871448040009,0.472141742706299
937,0.126082926988602,-0.0213186852633953,0.270185559988022,-0.907800495624542,0.154628872871399,0.00957882963120937,-0.397271633148193,-0.225436955690384,0.436030983924866,-0.473810344934464,0.633342504501343,0.108631365001202
939,-0.021449601277709,-0.101294688880444,0.240413337945938,-0.321889132261276,0.0744685977697372,0.548471510410309,-0.139242082834244,-0.133018344640732,0.455420404672623,-0.499194860458374,0.195680394768715,0.00444715609773993
941,-0.173480898141861,-0.155358463525772,0.163116872310638,-0.0745641440153122,-0.0726179927587509,0.739802598953247,0.465734124183655,-0.255464404821396,0.618301033973694,-0.457103610038757,-0.178293213248253,-0.0667771846055984
