,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 12/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR"
,-7985.240234375,-7966.5400390625,-7946.5400390625,-7924.0400390625,-7894.68994140625,-7872.7900390625,-7900.93994140625,-7935.89013671875,-7952.7900390625,-8034.64013671875,-8029.64013671875,-8077.740234375,-7912.14013671875,-8023.990234375,-8043.990234375,-7916.5400390625
,-3271.44995117188,-3278.30004882813,-3280.80004882813,-3300.80004882813,-3305.19995117188,-3278.30004882813,-3222.10009765625,-3203.35009765625,-3181.5,-3197.69995117188,-3238.35009765625,-3256.44995117188,-3212.69995117188,-3267.05004882813,-3270.19995117188,-3254.60009765625
923,2.59660530090332,2.94809150695801,1.60655546188354,2.93046855926514,4.02320384979248,0.320629507303238,0.966743946075439,0.768929243087769,-2.88287329673767,1.49923574924469,-1.11361062526703,0.438200503587723,-2.73224639892578,-1.41148161888123,-0.93927264213562,0.636948525905609
925,3.71099805831909,1.33026206493378,0.0427361503243446,2.97438931465149,3.78453278541565,0.449104845523834,1.68069446086884,0.399510532617569,-2.50498414039612,2.30266165733337,-1.27067518234253,1.21847987174988,-1.635782122612,-0.887683808803558,-0.223297148942947,1.21475219726563
927,4.25704765319824,-0.411365389823914,-1.05218899250031,1.0874365568161,2.75108313560486,-0.485794425010681,1.73571562767029,-0.851350724697113,-3.01084423065186,3.17285513877869,-0.995002388954163,2.67959475517273,1.09268844127655,-0.238414794206619,0.143974974751472,0.616301596164703
929,2.75725913047791,-0.564375817775726,-0.78044605255127,-1.35221421718597,-0.0835880786180496,-1.72529053688049,1.17032873630524,-1.80590927600861,-2.2835807800293,1.82160699367523,-1.47412407398224,1.42647695541382,3.38630056381226,-0.348412543535233,0.0266187191009521,-1.23000431060791
931,1.03105473518372,-1.35147714614868,-0.181646630167961,-1.61667621135712,-2.17528128623962,-1.89528560638428,-0.969448804855347,-2.77385330200195,-2.3400342464447,-0.311398476362228,-2.10895895957947,-0.201090186834335,2.9808976650238,-1.34438717365265,0.0930563658475876,-1.73222005367279
933,0.0207694265991449,-1.34385645389557,0.308610409498215,-1.32017505168915,-1.94353878498077,-1.44915950298309,-2.4069197177887,-2.29075837135315,-2.78476452827454,-1.42645168304443,-2.10640287399292,-1.14864361286163,1.65122747421265,-1.92078161239624,-0.476243853569031,-1.56078684329987
935,-0.512269794940948,-0.737456977367401,-0.0993323847651482,-1.24074101448059,-0.71395355463028,-0.899545013904572,-2.42904663085938,-1.80864405632019,-2.33879637718201,-1.46669900417328,-1.91328549385071,-1.17189681529999,0.779150247573853,-1.77790141105652,-0.45642226934433,-1.18031167984009
937,-0.578153729438782,-0.220283731818199,-0.400683760643005,-1.1887743473053,-0.307198882102966,-0.452372431755066,-1.66961407661438,-1.47812306880951,-1.79562044143677,-1.00329077243805,-1.35239470005035,-1.12347102165222,0.173442959785461,-1.01478838920593,-0.121373809874058,-0.408680766820908
939,-0.460254430770874,0.183797538280487,-0.522158622741699,-1.15250241756439,-0.384265631437302,-0.394487798213959,-0.903382062911987,-0.918805718421936,-0.994109988212585,-0.797496497631073,-0.774929583072662,-1.26687359809875,-0.138618767261505,-0.504551112651825,0.0127997817471623,-0.112863063812256
941,-0.508754670619965,0.439550340175629,-0.445522457361221,-0.704446017742157,-0.469098120927811,-0.675023078918457,-0.378130853176117,-0.430038094520569,-0.319053500890732,-0.821776449680328,-0.427438646554947,-1.14994072914124,-0.0714141130447388,-0.446187913417816,-0.133078679442406,-0.131042659282684
943,-0.502164244651794,0.408271193504333,-0.104530356824398,-0.234764873981476,-0.504355370998383,-0.566966652870178,-0.0870518013834953,-0.0107479933649302,-0.177106335759163,-0.513563334941864,-0.395163655281067,-0.596682965755463,-0.0824966132640839,-0.419603377580643,-0.389573574066162,-0.208629190921783
945,-0.382273405790329,0.255185186862946,0.15365394949913,-0.164261430501938,-0.407963424921036,-0.309771478176117,0.206780642271042,0.365255355834961,-0.230138927698135,-0.252139776945114,-0.316730111837387,-0.209849283099174,-0.0832444801926613,-0.35338631272316,-0.578779220581055,-0.192870929837227
947,-0.303123295307159,0.158266171813011,0.232875242829323,-0.273961365222931,-0.285354942083359,-0.223538771271706,0.526274025440216,0.623313188552856,-0.120959758758545,-0.0832721889019012,-0.160723298788071,0.0212338119745255,-0.164871618151665,-0.0512412786483765,-0.607870042324066,-0.114962704479694
949,-0.328942805528641,0.143423438072205,0.124528869986534,-0.353219926357269,-0.159741804003716,-0.287608444690704,0.725022494792938,0.803505063056946,0.084656834602356,-0.0926290452480316,0.0612095631659031,0.19976232945919,-0.345776468515396,0.252577155828476,-0.572016358375549,-0.119993165135384
951,-0.35263979434967,0.174544498324394,0.0619059354066849,-0.450706243515015,-0.0589314326643944,-0.225497364997864,0.908155858516693,0.84001499414444,0.144110530614853,-0.113938055932522,0.114903420209885,0.45384892821312,-0.399169653654099,0.387633711099625,-0.41011643409729,-0.0977606996893883
