,O-PTIR 1/O-PTIR,O-PTIR 2/O-PTIR,O-PTIR 3/O-PTIR,O-PTIR 4/O-PTIR,O-PTIR 5/O-PTIR,O-PTIR 6/O-PTIR,O-PTIR 7/O-PTIR,O-PTIR 8/O-PTIR,O-PTIR 9/O-PTIR,O-PTIR 10/O-PTIR,O-PTIR 11/O-PTIR,O-PTIR 12/O-PTIR,O-PTIR 13/O-PTIR,O-PTIR 14/O-PTIR,O-PTIR 15/O-PTIR,O-PTIR 16/O-PTIR,O-PTIR 17/O-PTIR,O-PTIR 18/O-PTIR,O-PTIR 19/O-PTIR,O-PTIR 20/O-PTIR,,,
,-313.3900146,-313.5400085,-345.6400146,-346.8399963,-346.6400146,-346.3399963,-392.1900024,-392.8399963,-392.3900146,-392.7900085,-392.5400085,-396.1900024,-397.4400024,-341.7900085,-340.4400024,-341.0899963,-439.2399902,-440.0400085,-421.9400024,-421.9400024,,,
,297.4299927,297.4299927,327.980011,328.1799927,328.3800049,327.7799988,410.6300049,412.2799988,412.730011,413.230011,413.0799866,432.5799866,433.7799988,445.7799988,445.980011,446.0299988,450.730011,450.980011,462.1799927,462.2799988,,,
923,-0.508285224,-3.367340565,2.061528921,-3.721956968,2.989791155,-2.428840637,1.026536465,1.848755717,-1.27745223,0.979491889,-2.029085875,-2.672210932,0.139369279,1.40782845,-2.404922485,-2.180303812,1.321507812,0.526076496,-1.085101008,-1.985840321,,,
925,0.427323967,-3.10410428,1.480730176,-2.456484556,1.505716324,-2.181888342,1.432128906,0.381157935,-0.64397496,0.787390172,-0.829696,-2.688244104,1.605865955,1.58800602,-1.154591799,-1.944169164,0.019737983,0.355496585,-0.55852598,-1.189801335,,,
927,1.662160039,-2.721574545,0.452770978,-1.565200329,0.384443015,-1.765292287,1.657333136,-0.908041775,0.268108487,-0.191813111,0.200363651,-3.25590992,2.764379501,1.082246065,-0.310769022,-0.54258132,-0.973221838,-0.101728454,-0.048095465,-0.768596709,,,
929,2.048555613,-2.517557621,0.709178805,-1.007162094,0.372742593,-0.713927984,1.97347939,-0.837938428,0.875295579,-0.956528008,0.311918378,-2.663377047,2.595662117,0.476410568,-0.260011941,-0.116094157,-1.244047642,-0.214469999,-0.145601481,-0.739889741,,,
931,2.351234198,-2.18160224,1.554267526,0.226296186,0.120924361,0.272116005,1.834365606,-0.023932714,0.377351105,-1.073732138,0.148498818,-2.620863438,1.315917134,0.379430622,0.164902359,-0.283398271,-1.4628582,0.2415279,-0.496024162,-0.462486446,,,
933,2.539545059,-1.987807989,1.897893786,0.515049338,-0.227272063,0.309843928,1.481108069,0.380151689,-0.911934853,-0.013069588,0.493830115,-2.802904606,0.326868117,0.012356242,0.612433195,0.385150164,-1.727452755,0.231790498,-0.409467608,-0.309556514,,,
935,1.488345385,-1.618627191,1.271218181,0.307080746,-0.203306735,-0.054325432,0.676928163,0.419252485,-1.159283161,0.286936313,1.127944827,-2.064184427,0.264663339,-0.421357393,0.217150182,1.324827075,-1.568841815,0.199741274,-0.46555236,-0.425581187,,,
937,0.65212065,-0.986894488,0.611958623,0.010446513,-0.194504276,-0.315419167,0.284481585,-0.263839573,-0.753017783,-0.03238935,0.939422071,-1.260088205,0.225018337,-0.352523983,-0.087125205,1.465930462,-1.312308431,0.082005724,-0.311456352,-0.072885334,,,
939,0.340123147,-0.230116203,0.338615566,-0.321719408,-0.188228637,-0.402340293,0.213471621,-0.490065962,-0.248665854,-0.156515598,0.632988036,-0.735044956,0.26725629,-0.342532784,-0.189363927,0.703262031,-0.747826815,0.074538402,-0.116548061,0.059493117,,,
941,0.331727713,-0.26755026,0.121330194,-0.374619454,-0.103066102,-0.301464796,-0.045799069,-0.264775634,-0.066407181,-0.271046519,0.512013733,-0.688686073,0.190264374,-0.497039258,-0.348055094,0.231096581,-0.562194407,0.212449297,0.063354686,0.222241864,,,
943,0.146991491,-0.694812298,-0.218728796,-0.346635252,0.03579754,-0.146386832,-0.2524243,-0.107951984,-0.083525725,-0.397444755,0.169558421,-0.640884101,0.024463782,-0.422058493,-0.348948479,0.018398892,-0.356473804,0.174225196,0.124613926,0.293982655,,,
945,0.174340874,-0.911790967,-0.421000987,-0.342174888,0.186044484,0.063987404,-0.23300384,-0.135686159,-0.236806273,-0.336649954,0.025572551,-0.401007354,0.045947179,-0.104492396,-0.324379861,-0.042593244,-0.213792354,0.042227246,0.003303104,0.219722018,,,
947,0.312688082,-0.645668328,-0.156674519,-0.21846661,0.062096272,0.180598751,-0.119629726,-0.215451717,-0.31312564,-0.247115448,0.071767181,-0.114756152,0.202390268,0.157856137,-0.235861629,-0.077989183,-0.086668581,-0.048522759,-0.03495286,0.133616,,,
949,0.416608989,-0.366687775,-0.011351182,-0.038587745,-0.174861416,0.08661288,0.11266388,-0.207431421,-0.193550795,-0.205895543,-0.031399637,0.019515689,0.268802404,0.236567602,-0.062247939,0.016453484,-0.018356467,0.023495028,0.023580605,0.063589379,,,
951,0.500124931,-0.233962119,0.038793638,0.112334043,-0.254596025,-0.087741852,0.305497825,-0.170887843,-0.10220746,-0.216858387,-0.039634265,0.036236938,0.225725234,0.256467611,0.03975255,0.167298585,0.054478098,0.100606941,0.020007294,0.062239353,,,
953,0.552259564,-0.239717066,0.093416475,0.207335055,-0.199285522,-0.145945594,0.445592791,-0.115374699,-0.103911281,-0.301337719,0.05519785,-0.007666345,0.150325552,0.280329883,0.063233577,0.340295851,0.039575472,0.067251995,0.030400321,0.078218356,,,
955,0.758544803,-0.231431544,0.089376263,0.239100546,-0.08095672,-0.138946459,0.600143194,-0.170262247,-0.086088836,-0.307000577,0.190176189,-0.056492072,0.100977182,0.204723358,0.130935922,0.400304615,0.085145898,0.001970507,0.04679662,0.125535056,,,
957,1.05441761,-0.276976585,0.017439453,0.244068876,-0.042440981,-0.136672646,0.683795929,-0.21361737,-0.074291326,-0.251174361,0.292167276,-0.071951501,0.053736188,0.150343448,0.278058022,0.34852767,0.181363344,-0.028309895,0.056896515,0.225547418,,,
959,1.299409866,-0.294736207,-0.043273002,0.22909461,-0.072798781,-0.119504422,0.670651734,-0.188293859,-0.045588728,-0.243586987,0.297031641,0.014699,0.042533293,0.151573166,0.398207486,0.285978645,0.247059971,-0.021757908,0.052724048,0.334680587,,,
