,"O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 10/O-PTIR","O-PTIR 13/O-PTIR","O-PTIR 14/O-PTIR"
,-927.75,-900.450012207031,-887.700012207031,-901.299987792969,-876.599975585938,-875.75,-914.099975585938,-937.099975585938,-929.450012207031,-931.799987792969,-916.700012207031,-896.849975585938,-896.849975585938,-879.75,-871.75,-899.599975585938,-909.150024414063,-948.900024414063,-956.849975585938
,6467.9599609375,6479.009765625,6498.60986328125,6511.41015625,6502.009765625,6482.4599609375,6457.7099609375,6476.4599609375,6456.66015625,6468.56005859375,6457.06005859375,6474.56005859375,6485.66015625,6478.91015625,6488.4599609375,6517.85986328125,6509.91015625,6470.56005859375,6471.759765625
923,1.02279877662659,0.317378491163254,0.194553419947624,-3.10836267471313,-1.56284189224243,-4.57955121994019,0.137560561299324,3.82693195343018,1.54120182991028,-6.24818134307861,-4.50040578842163,1.18813228607178,3.61962676048279,5.42654323577881,5.72496032714844,7.97183609008789,-2.11506104469299,2.96204280853271,0.339997470378876
925,0.0229486227035522,0.0115533350035548,0.565249562263489,-4.23304986953735,-1.63521635532379,-5.74584913253784,-0.965241253376007,4.91143465042114,1.13609445095062,-3.68568658828735,-0.835982203483582,3.78274893760681,2.6396586894989,6.27759408950806,6.82642698287964,5.77164459228516,-0.143884181976318,2.98102045059204,-0.855231940746307
927,-1.63027513027191,-1.11266195774078,0.610272526741028,-3.23724389076233,-2.21466898918152,-5.7719030380249,-2.22952389717102,6.68608379364014,2.49351954460144,-1.71697425842285,-0.410208165645599,5.20192527770996,-0.0518961176276207,5.49944639205933,7.18847846984863,3.14306664466858,1.60139966011047,3.87575173377991,-0.440224796533585
929,-1.70787763595581,-3.51684260368347,1.37889838218689,-2.18261408805847,-3.79953289031982,-4.43402862548828,-1.69728875160217,6.70439863204956,4.88788604736328,-2.13308262825012,-0.69451916217804,5.37146854400635,0.129436135292053,5.20290422439575,6.01566553115845,0.442399263381958,1.94767928123474,4.33918762207031,-0.139456197619438
931,-2.27088499069214,-4.20195579528809,1.28235614299774,1.15331447124481,-4.58636522293091,-2.9486072063446,-2.33936405181885,4.48554229736328,5.09291696548462,-2.17912435531616,-0.971218347549438,3.7327356338501,-1.15359055995941,4.43577527999878,3.3672194480896,-2.10119199752808,0.988524913787842,4.28591108322144,-1.54596841335297
933,-0.781834244728088,-3.12570643424988,0.33319216966629,1.77192282676697,-2.35898184776306,-2.10863041877747,-2.54819965362549,1.65170776844025,2.20851755142212,-1.1755678653717,-0.757212817668915,2.53233051300049,0.624538898468018,1.16109097003937,0.326951205730438,-2.96263098716736,-0.939322829246521,3.40715217590332,-1.42955315113068
935,0.0466558150947094,-2.19829964637756,0.373325198888779,1.87392783164978,-2.01433372497559,-1.01089715957642,-1.39340496063232,0.672181129455566,-0.0640447586774826,-1.19278490543365,-0.39101642370224,2.87923812866211,0.336564630270004,-0.219757542014122,-0.66106790304184,-1.76708424091339,-0.580055832862854,2.80952978134155,-0.772472262382507
937,-0.153510481119156,-0.578414857387543,0.196741789579391,1.57984411716461,-1.67316091060638,-0.801066756248474,-0.430988758802414,0.641541481018066,-0.298710912466049,-0.235008090734482,-0.11276825517416,1.7716600894928,-0.100172989070415,0.353644609451294,-0.485255688428879,-1.09421515464783,-0.052973747253418,1.4995698928833,-0.50639420747757
939,-0.479067504405975,0.238451242446899,-0.214499920606613,0.878364324569702,-0.796084225177765,-0.568002820014954,-0.684129893779755,0.543701827526093,-0.472836166620255,0.543475985527039,-0.111547015607357,0.918536007404327,0.0925023257732391,0.451423197984695,0.489873230457306,-0.548971056938171,-0.338308423757553,0.629149377346039,-0.770716786384583
941,-0.320556789636612,0.285745412111282,-0.449599534273148,-0.397221088409424,-0.489381283521652,0.0417880639433861,-1.31515967845917,0.151730731129646,-0.655968308448792,0.918615996837616,-0.0236716419458389,0.764746785163879,-0.100764416158199,0.190511047840118,0.991620719432831,0.127496182918549,-0.328570663928986,0.617341995239258,-1.11188137531281
