,"IR Spectrum 2/O-PTIR","IR Spectrum 3/O-PTIR","IR Spectrum 4/O-PTIR","IR Spectrum 5/O-PTIR","IR Spectrum 6/O-PTIR","IR Spectrum 7/O-PTIR"
,-217.880004882813,-221.479995727539,-215.130004882813,-215.130004882813,-219.979995727539,-222.830001831055
,-2733.93994140625,-2729.84008789063,-2732.0400390625,-2739.5400390625,-2739.23999023438,-2734.68994140625
935,-1.87113928794861,-0.250061899423599,-1.81591510772705,-2.19678425788879,-2.57876110076904,-1.87198317050934
937,-0.846640348434448,1.83890640735626,-1.57181990146637,-2.60668873786926,-1.06815373897552,-1.61764442920685
939,0.646503686904907,3.82855153083801,-1.4392626285553,-2.52017641067505,0.251586526632309,-1.00459933280945
941,3.07461619377136,5.48091888427734,0.601147711277008,-2.00068354606628,2.16426181793213,0.857026398181915
943,4.31311368942261,6.45949172973633,1.75802779197693,-1.15342366695404,3.16008496284485,1.42413580417633
945,5.40441226959229,8.02071666717529,2.82037329673767,-0.635462284088135,3.88355588912964,2.19792437553406
947,5.64094018936157,9.31046485900879,3.21720170974731,-0.587435662746429,4.67728471755981,2.76670861244202
949,6.06221055984497,9.29281520843506,3.30691027641296,-0.162597686052322,4.84782123565674,2.65600895881653
951,6.56592321395874,9.96092987060547,3.43827795982361,0.275844603776932,5.29159498214722,3.16484093666077
953,6.60281229019165,10.4898233413696,4.28063344955444,0.472686916589737,5.98013162612915,3.60195994377136
955,7.0358738899231,10.7552814483643,4.9023814201355,0.859074890613556,6.34931802749634,3.8007287979126
957,7.27385091781616,11.3212299346924,5.1475772857666,1.13651323318481,6.46938848495483,4.09598541259766
959,7.53694581985474,11.7924098968506,5.31247663497925,1.20828974246979,6.5476131439209,4.49629688262939
961,7.72109508514404,12.1160545349121,5.39874744415283,1.1436163187027,6.80484580993652,4.54940795898438
963,8.02582263946533,12.7185497283936,5.47500324249268,1.34209156036377,7.07751083374023,4.88131952285767
965,8.22312927246094,13.2433452606201,5.62853717803955,1.58591687679291,7.45770311355591,5.08987808227539
967,8.44225311279297,13.6693201065063,5.90478324890137,1.57935190200806,7.85616159439087,5.27395868301392
969,8.74216842651367,14.1043729782104,6.13168144226074,1.69164431095123,7.81961297988892,5.53259563446045
971,8.92314529418945,13.8099708557129,6.09604501724243,1.75397062301636,7.8290057182312,5.52343606948853
973,9.20703792572021,13.9030771255493,6.22548818588257,1.79532277584076,8.0197114944458,5.67856454849243
975,9.35548210144043,14.1676025390625,6.52825403213501,1.88566660881042,8.14114093780518,5.80608034133911
977,9.64958190917969,14.5618934631348,6.84893131256104,2.07342576980591,8.43641757965088,5.90278244018555
979,10.0219058990479,15.0742540359497,7.01278209686279,2.20480275154114,8.6528902053833,6.05156564712524
981,10.0130214691162,15.2109479904175,7.21218872070313,2.29730558395386,8.73783874511719,6.19474744796753
983,10.2148113250732,15.4180307388306,7.30742025375366,2.32365155220032,8.87834167480469,6.28638029098511
985,10.3687734603882,15.5152893066406,7.325599193573,2.48576354980469,9.01045989990234,6.52434778213501
