,"O-PTIR 1/O-PTIR","O-PTIR 2/O-PTIR","O-PTIR 3/O-PTIR","O-PTIR 4/O-PTIR","O-PTIR 5/O-PTIR","O-PTIR 6/O-PTIR","O-PTIR 7/O-PTIR","O-PTIR 8/O-PTIR","O-PTIR 9/O-PTIR","O-PTIR 11/O-PTIR","O-PTIR 15/O-PTIR","O-PTIR 16/O-PTIR","O-PTIR 17/O-PTIR","O-PTIR 18/O-PTIR","O-PTIR 19/O-PTIR","O-PTIR 22/O-PTIR","O-PTIR 24/O-PTIR","O-PTIR 25/O-PTIR","O-PTIR 26/O-PTIR","O-PTIR 27/O-PTIR"
,-967.25,-956.099975585938,-947.349975585938,-935.049987792969,-926.700012207031,-915.150024414063,-884.950012207031,-872.200012207031,-852.75,-836.400024414063,-930.25,-834.049987792969,-826.900024414063,-832.049987792969,-860.700012207031,-879.75,-957.299987792969,-966.049987792969,-974.400024414063,-987.549987792969
,6431.2099609375,6419.66015625,6410.509765625,6407.35986328125,6411.31005859375,6403.35986328125,6410.91015625,6423.259765625,6431.60986328125,6472.16015625,6531.41015625,6507.56005859375,6465.81005859375,6439.9599609375,6421.66015625,6436.35986328125,6428.009765625,6421.66015625,6434.759765625,6461.009765625
923,-1.72129023075104,2.01786684989929,2.99704194068909,0.559870898723602,-0.349341839551926,2.76261687278748,-1.68421447277069,0.634105086326599,-0.373574733734131,-3.10097002983093,0.648775935173035,0.374553680419922,-2.2768611907959,-3.11361742019653,-2.01984262466431,1.1524053812027,1.62233197689056,-3.19981241226196,0.497897505760193,0.0956464260816574
925,-1.38742554187775,2.57018542289734,3.06438374519348,1.02728188037872,-0.640765249729156,0.605853915214539,-1.36907553672791,0.978570580482483,0.152776122093201,-3.95489931106567,-0.198990404605865,1.42795050144196,-2.42686629295349,-2.35384893417358,-2.51313662528992,1.48341047763824,1.81692218780518,-3.55335140228271,1.10498058795929,-0.220638483762741
927,-1.06935656070709,3.59568953514099,3.3009626865387,0.927655339241028,-0.988857209682465,-0.92536848783493,-0.861587166786194,-0.206107422709465,1.31085300445557,-4.42402935028076,-0.677345871925354,1.7868994474411,-1.75629639625549,-1.81539928913116,-2.59941601753235,1.81875777244568,1.25029802322388,-4.11167335510254,1.37155497074127,-1.15436398983002
929,-1.56033539772034,4.14887046813965,2.34617733955383,0.495532125234604,-0.930650353431702,-1.34510326385498,-0.858163595199585,-2.39094018936157,1.43106424808502,-4.53454828262329,-0.245672315359116,2.48437190055847,-1.56398189067841,-2.00627779960632,-2.08785533905029,2.78049516677856,0.394860684871674,-4.09162425994873,1.46676230430603,-1.26297032833099
931,-1.5154412984848,2.78535437583923,0.311515510082245,-0.158506751060486,-0.26889768242836,-0.868956446647644,-0.515201330184937,-2.86429786682129,0.413529932498932,-3.40657329559326,-0.219171851873398,1.94034802913666,-2.28783106803894,-1.55005741119385,-0.949478149414063,2.47116255760193,0.119338653981686,-2.92291617393494,1.49141824245453,-1.67487525939941
933,-0.559867560863495,0.931124150753021,-0.54631906747818,-0.997579038143158,-0.547401607036591,-0.724916815757751,-0.153813451528549,-2.34137392044067,0.02497698366642,-1.41283440589905,-0.00571349123492837,1.18367624282837,-1.75708556175232,-0.933973908424377,0.334278285503387,0.477148503065109,-0.309901028871536,-1.45880556106567,0.511210083961487,-1.25952708721161
935,-0.399856746196747,-0.291150271892548,-0.6948282122612,-1.00502049922943,-0.715448796749115,-0.689282476902008,-0.330313205718994,-1.92439711093903,0.0913396030664444,-0.641639590263367,0.0285704974085093,0.633523046970367,-0.679097533226013,-0.647247135639191,0.810654819011688,-1.04723989963531,-0.702459990978241,-0.474334299564362,-0.52464497089386,-0.40887850522995
937,-0.219707846641541,-0.717867314815521,-0.54782110452652,-1.01964402198792,-0.366260409355164,-0.477758377790451,-0.743119716644287,-1.56086230278015,0.266319423913956,-0.299081951379776,0.249409884214401,0.131924018263817,-0.453717350959778,-0.480507791042328,0.733224093914032,-1.39610147476196,-0.626189827919006,0.175231069326401,-0.888096928596497,-0.328794628381729
939,-0.168017283082008,-0.808963060379028,-0.45550411939621,-0.607540845870972,-0.0600887909531593,-0.466656893491745,-0.778909981250763,-1.26576721668243,0.179965406656265,-0.201102152466774,0.364259392023087,-0.0175002217292786,-0.497066736221313,-0.17564968764782,0.34098869562149,-1.02052688598633,-0.633200287818909,0.0207193978130817,-0.895423114299774,-0.402049869298935
941,-0.45761576294899,-0.910811364650726,-0.353768676519394,-0.338955640792847,0.0502931550145149,-0.626056432723999,-0.818657040596008,-1.04277193546295,-0.0841286852955818,-0.0972655117511749,0.363767087459564,0.221909955143929,-0.608875274658203,-0.00355421309359372,0.168616592884064,-0.803585886955261,-0.698590219020844,-0.151727750897408,-0.494805812835693,-0.271147102117538
943,-0.656586885452271,-1.00062215328217,-0.106713682413101,-0.251188099384308,0.0232736654579639,-0.708522081375122,-0.623152077198029,-0.659241437911987,-0.357515066862106,0.0048153973184526,0.202972307801247,0.441794753074646,-0.763647198677063,-0.166380405426025,0.163011938333511,-0.686254143714905,-0.53572803735733,-0.202769011259079,-0.321255952119827,-0.211984306573868
945,-0.542505204677582,-0.949488162994385,0.0563077740371227,-0.374082654714584,-0.144577860832214,-0.709289729595184,-0.584246158599854,-0.358781278133392,-0.495244920253754,-0.0618855357170105,0.0619147196412086,0.461331278085709,-0.94561642408371,-0.119272381067276,0.156013265252113,-0.334592968225479,-0.350208878517151,-0.222370892763138,-0.260653585195541,-0.367968529462814
947,-0.303776144981384,-0.750404179096222,0.00507898954674602,-0.48479375243187,-0.298011630773544,-0.516225457191467,-0.47840228676796,-0.232182532548904,-0.385189294815063,-0.166053712368011,0.0312677472829819,0.343333691358566,-0.797992348670959,0.0362407900393009,0.102337963879108,0.102903619408607,-0.234765186905861,-0.336084634065628,-0.17165632545948,-0.697782516479492
949,-0.238270655274391,-0.588320672512054,-0.160054385662079,-0.391361773014069,-0.315458327531815,-0.340073883533478,-0.485851287841797,0.0431902408599854,-0.189250737428665,-0.210909828543663,-0.0195916723459959,0.280741989612579,-0.399284720420837,0.0488263964653015,0.0643548220396042,0.288847953081131,-0.23340006172657,-0.399885565042496,-0.200749903917313,-0.781532943248749
951,-0.382009595632553,-0.477488100528717,-0.0284094475209713,-0.204145908355713,-0.23689216375351,-0.182397156953812,-0.504095137119293,0.40080139040947,-0.0293294750154018,-0.191982731223106,-0.0483441203832626,0.210792005062103,-0.0167700853198767,0.0739262029528618,0.0574045404791832,0.404151022434235,-0.141670882701874,-0.22867614030838,-0.283356428146362,-0.585636556148529
953,-0.371395766735077,-0.32167312502861,0.216932907700539,-0.100187554955482,-0.171931907534599,0.0125534264370799,-0.375111639499664,0.670935809612274,0.183554232120514,-0.193738594651222,0.00491675594821572,0.139683857560158,0.175745099782944,0.115480951964855,0.0092006204649806,0.446680754423141,-0.190538376569748,-0.190467685461044,-0.284668505191803,-0.636098504066467
955,-0.276313126087189,-0.192078441381454,0.394280076026917,-0.0991142243146896,-0.179230660200119,0.251562833786011,-0.240519493818283,0.808686137199402,0.449708938598633,-0.160634979605675,0.0665264651179314,0.107362240552902,0.317859143018723,0.141999900341034,-0.0545013509690762,0.539964258670807,-0.304272383451462,-0.229343235492706,-0.208885580301285,-0.647546708583832
957,-0.257848262786865,-0.106950491666794,0.424380660057068,-0.0750510990619659,-0.190466746687889,0.466717600822449,-0.126002192497253,0.989242315292358,0.624194025993347,-0.142431706190109,0.0501362420618534,0.105139560997486,0.434454202651978,0.119042947888374,-0.0267734862864017,0.731248378753662,-0.342559367418289,-0.242940410971642,-0.16019943356514,-0.464388906955719
959,-0.297502666711807,-0.0441360883414745,0.381198048591614,-0.0190162770450115,-0.106777049601078,0.528310358524323,0.0172711331397295,1.21392858028412,0.718654036521912,-0.133471369743347,-0.0249413773417473,0.110305182635784,0.58438378572464,0.11551034450531,0.104644827544689,0.949502289295197,-0.329600274562836,-0.158020794391632,-0.0929611697793007,-0.344727367162704
